GEOID,NAME,population,popmoe
48435,"Sutton County, Texas",3865,NA
48437,"Swisher County, Texas",7484,NA
48439,"Tarrant County, Texas",2019977,NA
48441,"Taylor County, Texas",136348,NA
48443,"Terrell County, Texas",862,187
48445,"Terry County, Texas",12615,NA
48447,"Throckmorton County, Texas",1567,153
48449,"Titus County, Texas",32730,NA
48451,"Tom Green County, Texas",117466,NA
48453,"Travis County, Texas",1203166,NA
48455,"Trinity County, Texas",14569,NA
48457,"Tyler County, Texas",21496,NA
48459,"Upshur County, Texas",40769,NA
48461,"Upton County, Texas",3634,NA
48463,"Uvalde County, Texas",27009,NA
48465,"Val Verde County, Texas",49027,NA
48467,"Van Zandt County, Texas",54368,NA
48469,"Victoria County, Texas",91970,NA
48471,"Walker County, Texas",71539,NA
48473,"Waller County, Texas",49987,NA
48475,"Ward County, Texas",11586,NA
48477,"Washington County, Texas",34796,NA
48479,"Webb County, Texas",272053,NA
48481,"Wharton County, Texas",41551,NA
48483,"Wheeler County, Texas",5482,NA
48485,"Wichita County, Texas",131818,NA
48487,"Wilbarger County, Texas",12906,NA
48489,"Willacy County, Texas",21754,NA
48491,"Williamson County, Texas",527057,NA
48493,"Wilson County, Texas",48198,NA
48495,"Winkler County, Texas",7802,NA
48497,"Wise County, Texas",64639,NA
48499,"Wood County, Texas",43815,NA
48501,"Yoakum County, Texas",8571,NA
48503,"Young County, Texas",18114,NA
48505,"Zapata County, Texas",14369,NA
48507,"Zavala County, Texas",12131,NA
